coordinate,energy
1,0.000000
2,0.036119
3,0.127282
4,0.258191
5,0.411000
6,0.572167
7,0.731715
8,0.878902
9,1.007734
10,1.111259
11,1.203087
12,1.241170
13,1.238629
14,1.201142
15,1.120928
16,0.975869
17,0.814231
18,0.701758
19,0.575279
20,0.439846
21,0.313380
22,0.217736
23,0.110183
24,0.035090
25,0.000006
1,0.000000
2,0.522199
3,1.898689
4,3.901638
5,6.319088
6,8.967640
7,11.667785
8,14.259448
9,16.597369
10,18.558789
11,20.035385
12,20.954823
13,21.288264
14,20.962761
15,20.048870
16,18.576246
17,16.616746
18,14.278970
19,11.685763
20,8.982794
21,6.330571
22,3.909256
23,1.902605
24,0.523831
25,0.000000
